fungal gene copy number	1
microbial biomass carbon	1
microbial dna	1
percent clay	1
percent sand	1
percent silt	1
phospholipid fatty acids	1
soil carbon	1
soil nitrogen	1
soil organic carbon	1
soil organic nitrogen	1
benzene polycarboxylic acids	1
hydrolysable biopolymers	1
lignin phenols	1
solvent extractable compounds	1
atmospheric radiation	3
atmospheric winds	3
dew point temperature	3
humidity	5
precipitation amount	4
relative humidity	5
saturation vapor pressure	2
solar radiation	2
surface winds	3
vapor pressure	2
water vapor indicators	6
wind direction	2
wind speed	3
permafrost layer thickness	1
permafrost temperature	1
data analysis and visualization	1
earth science services	1
ammonia	1
ammonium	1
chlorophyll-a	1
dissolved inorganic carbon	2
nh3	1
nh3-total	1
nh4	1
ph	4
resistivity	1
salinity	1
specific conductance	2
total ammonia	1
total dissolved solids	2
total nitrogen	1
total phosphorus	1
total sulfur	1
turbidity	2
forest mensuration	1
forest science	2
metabolite	1
nonstructural carbohydrates	1
osmotic potential	2
pressure potential	2
relative water content	2
soluble sugars	2
starch	2
water potential	2
ecological dynamics	4
ecosystem functions	3
forest management	1
forest protection	1
leaf carbon content	1
non-structural carbohydrates	1
nutrient cycling	2
plant characteristics	2
primary production	1
species/population interactions	1
symbiosis	1
trophic dynamics	1
vegetation carbon content	1
vegetation water content	1
wood carbon content	1
climate indicators	2
permafrost melt	1
terrestrial hydrosphere indicators	1
ecosystems	4
forests	1
leaf characteristics	5
liana functional traits	1
p50	1
phosphorus	3
sapwood hydraulic conductivity	1
slope of the plc curve	1
terrestrial ecosystems	3
tree functional traits	1
tropical rainforest	1
middle infrared spectroscopy	1
pyrogenic carbon	1
circumference	1
radial growth	1
leaf area index (lai)	2
liquid precipitation	1
rain	1
chemistry	1
community dynamics	1
community structure	1
stage height	1
water pressure	1
upper level winds	1
maximum vegetation height	1
o horizon depth	1
soil moisture	1
thaw depth	1
date of leaf out	1
date of leaf senescence	1
date of peak leaf production	1
deciduous vegetation	1
evergreen vegetation	1
green chromatic coordinate	1
plant phenology	2
groundwater flux	1
groundwater level	3
mineralogy	2
sensor depth	1
total inorganic carbon	1
total organic carbon	1
freeze/thaw	2
biogeochemical cycles	1
visible imagery	2
visible wavelengths	2
alpine/tundra	2
arctic tundra	2
cation exchange capacity	1
soil organic carbon (soc)	2
soil ph	3
seasonally frozen ground	2
anaerobic bacterial lipids	1
delta-13c of anaerobic bacterial lipids	1
delta-13c of fungal lipids	1
delta-13c of gram-negative bacterial lipids	1
delta-13c of gram-positive bacterial	1
delta-13c of lipid mass	1
fungal lipids	1
gram-negative bacterial lipids	1
gram-positive bacterial	1
lipid mass	1
microbial respiration rate	2
nitrate concentration	2
soluble reactive phosphorus concentration	2
specific conductivity	1
stream discharge	1
stream velocity	1
carbon dioxide flux	1
concentration of intracellular carbon dioxide	1
electron transport rate of photosystem ii	1
growth rate	1
leaf area	1
leaf biomass	1
leaf carbon	1
leaf co2 assimilation rate	1
leaf nitrogen	1
leaf temperature	1
light level (ppfd)	1
photosynthetic water use	1
quantum yield of carbon dioxide assimilation	1
quantum yield of non-photochemical quenching	1
quantum yield of photosystem ii	1
root biomass	1
root carbon	1
root mass	1
root nitrogen	1
root respiration rate	1
root:leaf	1
root:shoot	1
specific leaf area	1
stem biomass	1
ammonium concentration	1
decomposition rate	1
invertebrate abundance	1
tensile loss	1
soil bulk density	2
thermal conductivity	1
vegetation cover	1
soil iron content	1
soil respiration	2
comid	1
dissolved 13c carbon dioxide	1
dissolved 13c methane	1
inorganic 14c carbon	1
cryosols	1
soil salinity/soil sodicity	1
soil structure	1
soil texture	1
burn severity	1
et	1
gpp	1
lai	1
leaf area index	1
surface air temperature	1
vegetation type	1
vpd	1
vt	1
water vapor deficit	1
streamflow	1
allometric scaling categories	1
hyporheic exchange fluxes	1
hyporheic respiration	1
land cover	1
watershed area	1
24 hour precipitation amount	1
longwave radiation	1
net radiation	1
shortwave radiation	1
skin temperature	1
soil heat budget	1
vegetation index	1
groundwater temperature	2
aluminum	1
aqueous p	1
calcium	2
elemental analysis	1
icp-oes	1
inductively coupled plasma optical emission spectrometer	1
inorganic phosphorus	1
iron	3
leachable organic matter	1
magnesium	2
molybdate reactive p	1
nuclear magnetic resonance	1
organic phosphorus	1
p-xanes	1
particulate p	1
potassium	2
pyrogenic organic matter	1
pyrogenic phosphorus	1
sodium	1
solution state 31p-nmr	1
spectroscopy	1
x-ray absorption near edge structure	1
bin/binning:gcmd	3
metagenome	3
metagenome assembled genomes (mags):gcmd	3
microbiome:gcmd	3
omics	3
omics methodology	3
freshwater ecosystems	1
headwater stream	1
organic carbon mineralization velocity	1
organic carbon spiraling length	1
rivers/stream	1
stream photosynthetically active radiation	1
stream width	1
levoglucosan	1
ess-dive csv file formatting guidelines reporting format	1
ess-dive file level metadata reporting format	1
ess-dive water-soil-sediment chemistry reporting format	1
micronutrients/trace elements	1
soil biogeochemistry	1
soil chemistry	1
contaminants	1
water trace elements	1
fire ecology	1
fire occurrence	1
cryospheric indicators	1
snow cover	1
snow melt	1
solids	1
