dataset_id	source_filename	Column_or_Row_Name	Unit	Definition	Column_or_Row_Long_Name	Data_Type	Term_Type	Missing_value_code
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logq_hz_vertical_m_div_s	meter per second	Vertical Hyporheic zone (HZ) exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logRT_lateral_hz_s	seconds	Hyporheic zone (HZ) residence time via lateral exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logRT_vertical_hz_s	seconds	Hyporheic zone (HZ) residence time via vertical exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logw_m	meters	Stream width		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	NO3	milligrams per liter	Stream nitrate (NO3) concentration		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	no3_conc_mg_l	milligrams per liter	Stream nitrate (NO3) concentration		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Standard	N/A	ESS-DIVE Reporting Format or other standard applied to the data file.		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Stream_DO	milligrams per liter	Stream dissolved oxygen (DO) concentration		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	stream_do	milligrams per liter	Stream dissolved oxygen (DO) concentration		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Stream_DOC	milligrams per liter	Stream dissolved organic carbon (DOC) concentration		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	stream_doc	milligrams per liter	Stream dissolved oxygen (DO) concentration		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	stream_no3	milligrams per liter	Stream nitrate (NO3) concentration		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	stream_size	N/A	Stream size category (small; medium; large)		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	StreamOrde	N/A	Stream order		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	tagrc	percents	Basin percent of agricultural land area		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Term_Type	N/A	Indicates whether the header is a column header or row header.		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	tforest	percent	Basin percent of forest land area		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	tshrub	percent	Basin percent of shrub land area		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	turban	percent	Basin percent of urban land area		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	twetland	percent	Basin percent of wetland area		numeric	row_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	Unit	N/A	Unit of measurement that applies to a given column or row in the data package.		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	value	N/A	Importance of variable to modeled values		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	var	N/A	Variable		text	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	ver_co2_prod_mol	moles	Carbon dioxide (CO2) production amount via vertical exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	ver_no2_prod_mol	moles	Removed nitrite (NO2) amount via vertical exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	ver_no3_prod_mol	moles	Removed nitrate (NO3) amount via vertical exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	ver_o2_cons_mol	moles	Consumed oxygen (O2) amount via vertical exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logQ_m3_div_s	cubic meters per second	Mean annual flow		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logRT_hz_s	seconds	Hyporheic zone (HZ) residence time		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	logq_hz_m_div_s	meter per second	Hyporheic zone (HZ) exchange		numeric	column_header	
ess-dive-fc985ed8172df01-20240820T171536998	respiration_dd.csv	LengthKM	kilometers	Stream length		numeric	column_header	
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	a	millimeters per centimeters	Longest axis length extracted from literature.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Accuracy_percent	percent	Average probability of all grains output from YOLO.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Accuracy_threshold_percent	percent	Average probability of all grains after threshold.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	AgKffactWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Altitude_meter	meters	Photo altitude.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Altitude_reference	N/A	Altitude reference indicator.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	AluminumSite	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	AluminumWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	arbolatesu	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Area_m2	square meters	The area of photo.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Area_ratio_below_2mm_percent	percent	The ratio of regions whose size less than 2 millimeters to the photo area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Area_ratio_percent	percent	The ratio of non-detected region to the photo area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	areasqkm	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	AriditySite	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	AridityWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Author	N/A	The person who measured the photo scale.		text	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	b	millimeters per centimeters	Intermediate axis length extracted from literature.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	b-axis	centimeters	Intermediate axis length extracted from literature.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	c	millimeters per centimeters	Shortest axis length extracted from literature.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CalciumSite	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CalciumWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CanalDensWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CatAreaSqKm	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CatPctFull	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	ClayWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CoalMineDensWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Column_or_Row_Name_Position	N/A	"The location of the column or row that contains the header names (i.e., column name or row name). The count used to identify the location assumes the numbering begins at 1 (rather than 0) and excludes columns or rows that begin with ""#"". Most data in this data package is oriented in columns, so this field indicates the tabular location of the row that holds the column names (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 1 - to indicate the location of the column header row)."		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	COMID	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second	meters per second	Subsurface conductivity.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second_max	meters per second	Maximum subsurface conductivity for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second_mean	meters per second	Mean subsurface conductivity for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second_median	meters per second	Median subsurface conductivity for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second_min	meters per second	Minimum subsurface conductivity for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second_rms	meters per second	Root mean square of subsurface conductivity for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Conductivity_meter_per_second_std	meters per second	Standard deviation of subsurface conductivity for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CopperSite	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	CopperWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Corrected	N/A	Indicator if photo resolution is corrected. 1 is yes. 0 is no. Photos with high uncertainty in resolution are checked by a second person who checks the original results and corrects the photo resolution if needed.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Country	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Cumulative_probability	N/A	The cumulative probability is manually extracted values from y axis reported in Figure 8c in Mair, D. et al, ESPL, 2024.		numeric	olumn_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter	meters	10 percentile grain size along diagonal based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter_max	meters	Maximum 10 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter_mean	meters	Mean 10 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter_median	meters	Median 10 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter_min	meters	Minimum 10 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter_rms	meters	Root mean square of 10 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_area_meter_std	meters	Standard deviation of 10 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D10_count_meter	meters	10 percentile grain size along diagonal based on particle count.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter	meters	5 percentile grain size along diagonal based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter_max	meters	Maximum 5 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter_mean	meters	Mean 5 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter_median	meters	Median 5 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter_min	meters	Minimum 5 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter_rms	meters	Root mean square of 5 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_area_meter_std	meters	Standard deviation of 5 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D5_count_meter	meters	5 percentile grain size along diagonal based on particle count.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter	meters	50 percentile grain size along diagonal based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter_max	meters	Maximum D50_area_meter at a specific site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter_mean	meters	Average D50_area_meter at a specific site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter_median	meters	Median D50_area_meter at a specific site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter_min	meters	Minimum D50_area_meter at a specific site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter_rms	meters	Root mean square D50_area_meter at a specific site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_area_meter_std	meters	Standard deviation D50_area_meter at a specific site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_count_meter	meters	50 percentile grain size along diagonal based on particle count.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_x_area_meter	meters	50 percentile grain size along x based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_x_count_meter	meters	50 percentile grain size along x based on particle count.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_y_area_meter	meters	50 percentile grain size along y based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D50_y_count_meter	meters	50 percentile grain size along y based on particle count.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter	meters	60 percentile grain size along diagonal based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter_max	meters	Maximum 60 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter_mean	meters	Mean 60 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter_median	meters	Median 60 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter_min	meters	Minimum 60 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter_rms	meters	Root mean square of 60 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_area_meter_std	meters	Standard deviation of 60 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D60_count_meter	meters	60 percentile grain size along diagonal based on count of sediments.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter	meters	84 percentile grain size along diagonal based on particle area.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter_max	meters	Maximum 84 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter_mean	meters	Mean 84 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter_median	meters	Median 84 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter_min	meters	Minimum 84 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter_rms	meters	Root mean square of 84 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_area_meter_std	meters	Standard deviation of 84 percentile grain size for a site.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	D84_count_meter	meters	84 percentile grain size along diagonal based on particle count.		numeric	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	DamDensWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	DamNIDStorWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	DamNrmStorWs	N/A	This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.		N/A	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Date_PST	MM-DD-YYYY hh:mm:ss	Photo taken time.		datetime	column_header	"""N/A""; ""-9999""; """"; ""NA"""
ess-dive-af74adc4f937e50-20250905T193914746	v2_Chen_2024_YOLO_dd.csv	Date_Second	seconds	Photo taken time.		time	column_header	"""N/A""; ""-9999""; """"; ""NA"""
