ID,Label (description),Category,EcoSIM Other Names,EcoSIM Variable Name,File Name,Definition,Comment,Related Synonyms,Exact Synonyms,Type,DbXrefs,has_units,qualifiers,attributes,measured_ins,measurement_ofs,contexts,value_types,Parents,Group Curated?,Definition Curated?,Definition Source,Comment from Ulas,Comment from Joan,Comment from John-Marc,Comment from Jinyun,Comment from Harry,Comment from Chris
BERVO:0000025,Equilibrium constant for H2O=H(+)+OH(-),Constants for specific chemical reactions,,DPH2O,SoluteParMod.txt,"The equilibrium constant for the autoionization of water into hydrogen and hydroxide ions, representing the fundamental acid-base chemistry of aqueous systems. This constant governs hydrogen ion activity and solution pH in terrestrial and aquatic environments, making it essential for modeling chemical weathering, nutrient availability, and biogeochemical processes in Earth system models.",,,,Class,,mol^2 m^-6,,Equilibrium constant,Water,Hydrogen|Hydroxide,Water,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,"The equation is important context; is that ""context"" or ""measurement_of""",,,
BERVO:0000026,Equilibrium constant for AlOH3(s)=Al(3+)+3OH(-),Constants for specific chemical reactions,,SPALO,SoluteParMod.txt,"The equilibrium constant for the dissolution of aluminum hydroxide solid into aluminum and hydroxide ions in aqueous solution. This reaction controls aluminum solubility and bioavailability in soils and is critical for modeling aluminum toxicity, soil pH buffering, and chemical weathering processes in terrestrial ecosystems.",,,,Class,,mol^3 m^-9,,Equilibrium constant,Aluminum hydroxide,Aluminum|Hydroxide,Soil,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000027,Equilibrium constant for FeOH3(s)=Fe(3+)+3OH(-),Constants for specific chemical reactions,,SPFEO,SoluteParMod.txt,The equilibrium constant for the dissolution of iron(III) hydroxide solid into ferric iron and hydroxide ions in aqueous solution. This reaction governs iron availability for biological processes and controls iron-phosphate interactions that affect nutrient cycling and plant growth in terrestrial and aquatic environments.,,,,Class,,mol^3 m^-9,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000028,Equilibrium constant for CaCO3(s)=Ca(2+)+CO3(2-),Constants for specific chemical reactions,,SPCAC,SoluteParMod.txt,"The equilibrium constant for the dissolution of calcium carbonate solid into calcium and carbonate ions in aqueous solution. This reaction is fundamental to carbonate weathering, soil pH regulation, and carbon cycling in terrestrial ecosystems, and controls calcium availability for plant nutrition and soil structure development.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000029,Equilibrium constant for CaSO4(s)=Ca(2+)+SO4(2-),Constants for specific chemical reactions,,SPCAS,SoluteParMod.txt,"The equilibrium constant for the dissolution of calcium sulfate solid into calcium and sulfate ions in aqueous solution. This reaction controls gypsum solubility in soils and affects soil salinity, calcium availability, and sulfur cycling in arid and semi-arid terrestrial ecosystems.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000030,Equilibrium constant for AlPO4(s)=Al(3+)+PO4(3-),Constants for specific chemical reactions,,SPALP,SoluteParMod.txt,The equilibrium constant for the dissolution of aluminum phosphate solid into aluminum and phosphate ions in aqueous solution. This reaction controls phosphorus availability in acidic soils where aluminum-phosphate minerals are common and is essential for modeling phosphorus limitation and plant nutrition in terrestrial ecosystems.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000031,Equilibrium constant for FePO4(s)=Fe(3+)+PO4(3-),Constants for specific chemical reactions,,SPFEP,SoluteParMod.txt,The equilibrium constant for the dissolution of iron phosphate solid into ferric iron and phosphate ions in aqueous solution. This reaction governs phosphorus sequestration by iron minerals in soils and sediments and is critical for understanding phosphorus cycling and availability in both terrestrial and aquatic ecosystems.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000032,Equilibrium constant for Ca(H2PO4)2(s)=Ca(2+)+2H2PO4(-),Constants for specific chemical reactions,,SPCAM,SoluteParMod.txt,The equilibrium constant for the dissolution of calcium dihydrogen phosphate solid into calcium and dihydrogen phosphate ions in aqueous solution. This reaction controls the solubility of highly soluble phosphate fertilizers and governs initial phosphorus release rates following fertilizer application in agricultural systems.,,,,Class,,mol^3 m^-9,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000033,Equilibrium constant for CaHPO4(s)=Ca(2+)+HPO4(2-),Constants for specific chemical reactions,,SPCAD,SoluteParMod.txt,The equilibrium constant for the dissolution of calcium hydrogen phosphate solid into calcium and hydrogen phosphate ions in aqueous solution. This reaction controls the solubility of moderately soluble phosphate minerals in soils and affects phosphorus availability for plant uptake and microbial processes in terrestrial ecosystems.,,,,Class,,mol^3 m^-9,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000034,"Equilibrium constant for hydroxyapatite,Ca5(PO4)3OH(s)=5Ca(2+)+3PO4(3-)+OH(-)",Constants for specific chemical reactions,,SPCAH,SoluteParMod.txt,"The equilibrium constant for the dissolution of hydroxyapatite mineral into calcium, phosphate, and hydroxide ions in aqueous solution. This reaction governs the long-term stability of calcium phosphate minerals in soils and bones, controlling phosphorus cycling and calcium availability in both terrestrial ecosystems and biological systems.",,,,Class,,mol^8 m^-24,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000035,Equilibrium constant for X-OH2(+)=X-OH+H(+),Constants for specific chemical reactions,,SXOH2,SoluteParMod.txt,"The equilibrium constant for the deprotonation of positively charged surface hydroxyl groups on mineral and organic surfaces to neutral hydroxyl groups. This reaction controls the pH-dependent surface charge of soil particles and affects ion adsorption, nutrient availability, and contaminant transport in terrestrial environments.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000036,Equilibrium constant for X-OH1=X-O(-)+H(+),Constants for specific chemical reactions,,SXOH1,SoluteParMod.txt,The equilibrium constant for the deprotonation of neutral surface hydroxyl groups to negatively charged surface groups on mineral and organic surfaces. This reaction determines the development of negative surface charge at higher pH values and controls cation exchange capacity and nutrient retention in soils.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000037,Equilibrium constant for X-H2PO4+H2O=X-OH2(+)+H2PO4(-),Constants for specific chemical reactions,,SXH2P,SoluteParMod.txt,The equilibrium constant for the desorption of dihydrogen phosphate from positively charged surface sites in the presence of water to form phosphate ions in solution. This reaction controls phosphorus availability in soils by governing the release of phosphate from mineral and organic surfaces and is essential for modeling phosphorus cycling and plant nutrient uptake in terrestrial ecosystems.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000038,Equilibrium constant for X-H1PO4(-)=X-OH+HPO4(2-),Constants for specific chemical reactions,,SXH1P,SoluteParMod.txt,The equilibrium constant for the desorption of hydrogen phosphate from negatively charged surface sites to form phosphate ions in solution. This reaction governs phosphorus mobility and bioavailability in soils and sediments and is critical for understanding phosphorus release from soil surfaces and its role in plant nutrition and eutrophication processes.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000039,Equilibrium constant for CO2 + H2O = HCO3(-) + H(+),Constants for specific chemical reactions,,DPCO2,SoluteParMod.txt,The equilibrium constant for the hydration of carbon dioxide to form bicarbonate and hydrogen ions in aqueous solution. This reaction is fundamental to the carbonic acid system that controls pH buffering in soils and water bodies and governs carbon dioxide solubility and transport in terrestrial and aquatic environments.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000040,Equilibrium constant for HCO3(-) = CO3(2-) + H(+),Constants for specific chemical reactions,,DPHCO,SoluteParMod.txt,"The equilibrium constant for the deprotonation of bicarbonate ions to form carbonate ions and hydrogen ions in aqueous solution. This reaction controls the distribution of inorganic carbon species with pH and is essential for modeling carbonate chemistry, pH buffering, and carbon cycling in alkaline soils and water systems.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000041,Equilibrium constant for NH4(+) = NH3 + H(+),Constants for specific chemical reactions,,DPN4,SoluteParMod.txt,"The equilibrium constant for the deprotonation of ammonium ions to form ammonia and hydrogen ions in aqueous solution. This reaction controls the pH-dependent partitioning between ammonium and ammonia forms and is critical for modeling ammonia volatilization, nitrogen availability, and nitrogen losses from terrestrial ecosystems.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000042,Equilibrium constant for AlOH(2+)=Al(3+)+OH(-),Constants for specific chemical reactions,,DPAL1,SoluteParMod.txt,"The equilibrium constant for the dissociation of aluminum hydroxide complex ions to form free aluminum and hydroxide ions in aqueous solution. This reaction controls aluminum speciation and toxicity in acidic soils and waters and is fundamental for modeling aluminum mobility, plant aluminum stress, and chemical weathering processes in terrestrial environments.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000043,Equilibrium constant for Al(OH)2(+)=AlOH(2+)+OH(-),Constants for specific chemical reactions,,DPAL2,SoluteParMod.txt,The equilibrium constant for the stepwise dissociation of aluminum dihydroxide complex ions to form aluminum monohydroxide complexes and hydroxide ions. This reaction is part of the aluminum hydrolysis series that governs aluminum speciation in soils and waters and affects aluminum bioavailability and phytotoxicity in acidic terrestrial and aquatic systems.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000044,Equilibrium constant for Al(OH)3(aq)=Al(OH)2(+)+OH(-),Constants for specific chemical reactions,,DPAL3,SoluteParMod.txt,The equilibrium constant for the dissociation of dissolved aluminum trihydroxide to form aluminum dihydroxide complex ions and hydroxide ions. This reaction controls the formation of intermediate aluminum species during chemical weathering and affects aluminum solubility and transport in soil solutions and surface waters.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000045,Equilibrium constant for Al(OH)4(-)=Al(OH)3(aq)+OH(-),Constants for specific chemical reactions,,DPAL4,SoluteParMod.txt,The equilibrium constant for the dissociation of aluminum tetrahydroxide complex ions to form aluminum trihydroxide species and hydroxide ions. This reaction occurs at higher pH values and controls aluminum speciation in alkaline soils and waters where aluminum forms anionic complexes that affect aluminum mobility and environmental fate.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000046,Equilibrium constant for Al(SO4)(+)=Al(3+)+SO4(2-),Constants for specific chemical reactions,,DPALS,SoluteParMod.txt,The equilibrium constant for the dissociation of aluminum sulfate complex ions to form free aluminum and sulfate ions in aqueous solution. This reaction controls aluminum and sulfate availability in acidic soils affected by acid deposition and is important for modeling aluminum toxicity and sulfur cycling in forest and agricultural ecosystems.,,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000047,Equilibrium constant for Fe(OH)(2+)=Fe(3+)+OH(-),Constants for specific chemical reactions,,DPFE1,SoluteParMod.txt,"The equilibrium constant for the dissociation of iron(III) monohydroxide complex ions to form free ferric iron and hydroxide ions in aqueous solution. This reaction controls iron speciation and solubility in oxidized environments and affects iron bioavailability, phosphorus sorption, and redox processes in terrestrial and aquatic ecosystems.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000048,Equilibrium constant for Fe(OH)2(+)=FeOH(2+)+OH(-),Constants for specific chemical reactions,,DPFE2,SoluteParMod.txt,"The equilibrium constant for the stepwise dissociation of iron(III) dihydroxide complex ions to form monohydroxide complexes and hydroxide ions. This reaction is part of the iron hydrolysis series that governs iron speciation in soils and waters and controls iron precipitation, phosphorus binding, and biogeochemical processes in environmental systems.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
BERVO:0000049,Equilibrium constant for Fe(OH)3(aq)=Fe(OH)2(+)+OH(-),Constants for specific chemical reactions,,DPFE3,SoluteParMod.txt,"The equilibrium constant for the dissociation of dissolved iron(III) trihydroxide to form dihydroxide complex ions and hydroxide ions. This reaction controls the formation of intermediate iron species during iron oxide precipitation and affects iron transport, phosphorus adsorption, and trace metal interactions in soil and water systems.",,,,Class,,mol m^-3,,Equilibrium constant,,,,,,,,Claude Sonnet 4 through GitHub Copilot in VSCode (Sep 25 2025),,,,,,
